Pagina,Id,Code,Omschrijving,Begin geldigheid,Gerelateerd
Land-based activities,236,106.02.01,Land-based activities,2011-11-11,
"Extraction, 1st treatment and loading of liquid fossil fuels",235,106.02,"Extraction, 1st treatment and loading of liquid fossil fuels",2011-11-11,
Others buddles,234,106.01.08,Others buddles,2011-11-11,
Coal buddles with efficient decantation of waste waters,233,106.01.07,Coal buddles with efficient decantation of waste waters,2011-11-11,
Shower-bath installation,232,106.01.06,Shower-bath installation,2011-11-11,
Pumping out water ( eau d'exhaure),231,106.01.05,Pumping out water ( eau d'exhaure),2011-11-11,
Peat extraction,230,106.01.04,Peat extraction,2011-11-11,
Cement,23,104.11.02,Cement,2011-11-11,
Storage of solid fuel,229,106.01.03,Storage of solid fuel,2011-11-11,
Underground mining,228,106.01.02,Underground mining,2011-11-11,
Open cast mining,227,106.01.01,Open cast mining,2011-11-11,
Extraction and 1st treatment of solid fossil fuels,226,106.01,Extraction and 1st treatment of solid fossil fuels,2011-11-11,
Processes specific to the extraction and distribution of fossil fuels and geothermal energy,225,106,Processes specific to the extraction and distribution of fossil fuels and geothermal energy,2011-11-11,
Sand-blasting of buildings and related operations,224,105.16.02,Sand-blasting of buildings and related operations,2011-11-11,
Road paving with asphalt,223,105.16.01,Road paving with asphalt,2011-11-11,
Characteristic processes in construction,222,105.16,Characteristic processes in construction,2011-11-11,
industrial water treatment,221,105.15.02,industrial water treatment,2011-11-11,
ozonation plants in drinking water production installations,220,105.15.01,ozonation plants in drinking water production installations,2011-11-11,
Plaster furnaces,22,104.11.01,Plaster furnaces,2011-11-11,
"Characteristic processes in collection, purification and distribution of water",219,105.15,"Characteristic processes in collection, purification and distribution of water",2011-11-11,
Characteristic processes in recycling industries,218,105.14,Characteristic processes in recycling industries,2011-11-11,
Batteries manufacturing,217,105.13.01,Batteries manufacturing,2011-11-11,
Characteristic processes in other manufacturing,216,105.13,Characteristic processes in other manufacturing,2011-11-11,
Post treatment of casts,215,105.12.22,Post treatment of casts,2011-11-11,
Distillation of light oils (coke production),214,105.12.21,Distillation of light oils (coke production),2011-11-11,
Pb oxides production,213,105.12.20,Pb oxides production,2011-11-11,
Zn hydrometallurgical construction,212,105.12.19,Zn hydrometallurgical construction,2011-11-11,
Cu electrolytic refining,211,105.12.18,Cu electrolytic refining,2011-11-11,
Other,210,105.12.17,Other,2011-11-11,
Characteristic processes in the manufacture of other non-metallic mineral products,21,104.11,Characteristic processes in the manufacture of other non-metallic mineral products,2011-11-11,
Allied metal manufacturing,209,105.12.16,Allied metal manufacturing,2011-11-11,
Nickel production (except 104.12.15),208,105.12.15,Nickel production (except 104.12.15),2011-11-11,
Magnesium production (except 104.12.14),207,105.12.14,Magnesium production (except 104.12.14),2011-11-11,
Silicium production,206,105.12.13,Silicium production,2011-11-11,
Ferro alloys,205,105.12.12,Ferro alloys,2011-11-11,
Aluminium production (electrolysis),204,105.12.11,Aluminium production (electrolysis),2011-11-11,
Other,203,105.12.10,Other,2011-11-11,
Sinter plant (except combustion 03.03.01),202,105.12.09,Sinter plant (except combustion 03.03.01),2011-11-11,
Rolling mills,201,105.12.08,Rolling mills,2011-11-11,
Electric furnace steel plant,200,105.12.07,Electric furnace steel plant,2011-11-11,
Characteristic processes in the manufacture of rubber and plastic products,20,104.1,Characteristic processes in the manufacture of rubber and plastic products,2011-11-11,
Combustion plants >= 300 MW (boilers),2,101.01,Combustion plants >= 300 MW (boilers),2011-11-11,
Basic oxygen furnace steel plant,199,105.12.06,Basic oxygen furnace steel plant,2011-11-11,
Open hearth furnace steel plant,198,105.12.05,Open hearth furnace steel plant,2011-11-11,
Solid smokeless fuel,197,105.12.04,Solid smokeless fuel,2011-11-11,
Pig iron tapping,196,105.12.03,Pig iron tapping,2011-11-11,
Blast furnace charging,195,105.12.02,Blast furnace charging,2011-11-11,
Coke oven (door leakage and extinction),194,105.12.01,Coke oven (door leakage and extinction),2011-11-11,
Characteristic processes in the manufacture of basic metals and fabricated metal products,193,105.12,Characteristic processes in the manufacture of basic metals and fabricated metal products,2011-11-11,
Manufacture of asbestos and asbestos-based products,192,105.11.07,Manufacture of asbestos and asbestos-based products,2011-11-11,
manufacture of textile glass,191,105.11.06,manufacture of textile glass,2011-11-11,
glass working,190,105.11.05,glass working,2011-11-11,
Enamel production,19,104.09.01,Enamel production,2011-11-11,
Lime (decarbonizing),189,105.11.04,Lime (decarbonizing),2011-11-11,
Glass (decarbonizing),188,105.11.03,Glass (decarbonizing),2011-11-11,
Cement (decarbonizing),187,105.11.02,Cement (decarbonizing),2011-11-11,
Roof covering with asphalt materials,186,105.11.01,Roof covering with asphalt materials,2011-11-11,
Characteristic processes in the manufacture of other non-metallic mineral products,185,105.11,Characteristic processes in the manufacture of other non-metallic mineral products,2011-11-11,
Characteristic processes in the manufacture of rubber and plastic products,184,105.1,Characteristic processes in the manufacture of rubber and plastic products,2011-11-11,
Explosives,183,105.09.55,Explosives,2011-11-11,
Urea glue manufacturing,182,105.09.54,Urea glue manufacturing,2011-11-11,
Ureamelamine glue manufacturing,181,105.09.53,Ureamelamine glue manufacturing,2011-11-11,
Zn oxides production,180,105.09.52,Zn oxides production,2011-11-11,
"Characteristic processes in the manufacture of chemicals, chemical products and man-made fibres",18,104.09,"Characteristic processes in the manufacture of chemicals, chemical products and man-made fibres",2011-11-11,
Pb oxides production (PbO),179,105.09.51,Pb oxides production (PbO),2011-11-11,
Use of ethanol in organic chemical manufacture,178,105.09.50,Use of ethanol in organic chemical manufacture,2011-11-11,
Production of industrial ethanol,177,105.09.49,Production of industrial ethanol,2011-11-11,
Use of benzene in chemical processes,176,105.09.48,Use of benzene in chemical processes,2011-11-11,
Pigment manufacture (E111organic pigments),175,105.09.47,Pigment manufacture (E111organic pigments),2011-11-11,
Lead alkyl manufacturing,174,105.09.46,Lead alkyl manufacturing,2011-11-11,
Solvent manufacturing,173,105.09.45,Solvent manufacturing,2011-11-11,
"Other (phytosanitary,...)",172,105.09.44,"Other (phytosanitary,...)",2011-11-11,
Production of persistent organic compounds,171,105.09.43,Production of persistent organic compounds,2011-11-11,
Pesticide production,170,105.09.42,Pesticide production,2011-11-11,
"Characteristic processes in the manufacture of coke, refined petroleum products and nuclear fuel",17,104.08,"Characteristic processes in the manufacture of coke, refined petroleum products and nuclear fuel",2011-11-11,
Halogenated hydrocarbons production,169,105.09.41,Halogenated hydrocarbons production,2011-11-11,
Glyoxylic acid,168,105.09.40,Glyoxylic acid,2011-11-11,
Storage and handling of organic chemical products,167,105.09.39,Storage and handling of organic chemical products,2011-11-11,
Adipic acid,166,105.09.38,Adipic acid,2011-11-11,
Acrylonitrile,165,105.09.37,Acrylonitrile,2011-11-11,
Phtalic anhydride,164,105.09.36,Phtalic anhydride,2011-11-11,
Ethylbenzene,163,105.09.35,Ethylbenzene,2011-11-11,
Formaldehyde,162,105.09.34,Formaldehyde,2011-11-11,
Ethylene oxide,161,105.09.33,Ethylene oxide,2011-11-11,
Acrylonitrile Butadiene Styrene (ABS) resins,160,105.09.32,Acrylonitrile Butadiene Styrene (ABS) resins,2011-11-11,
Drying processes in paper mills,16,104.07.01,Drying processes in paper mills,2011-11-11,
Styrene-butadiene rubber (SBR),159,105.09.31,Styrene-butadiene rubber (SBR),2011-11-11,
Styrene-butadiene latex,158,105.09.30,Styrene-butadiene latex,2011-11-11,
Styrene butadiene,157,105.09.29,Styrene butadiene,2011-11-11,
Polystyrene,156,105.09.28,Polystyrene,2011-11-11,
Styrene,155,105.09.27,Styrene,2011-11-11,
Polypropylene,154,105.09.26,Polypropylene,2011-11-11,
Polyvinylchloride,153,105.09.25,Polyvinylchloride,2011-11-11,
Polyethylene High Density,152,105.09.24,Polyethylene High Density,2011-11-11,
Polyethylene Low Density,151,105.09.23,Polyethylene Low Density,2011-11-11,
"1,2 dichloroethane + vinylchloride (balanced process)",150,105.09.22,"1,2 dichloroethane + vinylchloride (balanced process)",2011-11-11,
"Characteristic processes in the maufacture of pulp, paper and paper products, publishing and printing",15,104.07,"Characteristic processes in the maufacture of pulp, paper and paper products, publishing and printing",2011-11-11,
Vinylchloride (except 105.09.22),149,105.09.21,Vinylchloride (except 105.09.22),2011-11-11,
"1,2 dichloroethane (except 105.09.22)",148,105.09.20,"1,2 dichloroethane (except 105.09.22)",2011-11-11,
Propylene,147,105.09.19,Propylene,2011-11-11,
Ethylene,146,105.09.18,Ethylene,2011-11-11,
Pigment manufacture (inorganic pigments),145,105.09.17,Pigment manufacture (inorganic pigments),2011-11-11,
Zn oxides production,144,105.09.16,Zn oxides production,2011-11-11,
Storage and handling of inorganic chemical prod.,143,105.09.15,Storage and handling of inorganic chemical prod.,2011-11-11,
Phosphate fertilizers,142,105.09.14,Phosphate fertilizers,2011-11-11,
Chlorine production,141,105.09.13,Chlorine production,2011-11-11,
Calcium carbide production,140,105.09.12,Calcium carbide production,2011-11-11,
Characteristic processes in the manufacture of wood and wood products,14,104.06,Characteristic processes in the manufacture of wood and wood products,2011-11-11,
Graphite,139,105.09.11,Graphite,2011-11-11,
Titanium dioxide,138,105.09.10,Titanium dioxide,2011-11-11,
Carbon black,137,105.09.09,Carbon black,2011-11-11,
Urea,136,105.09.08,Urea,2011-11-11,
NPK fertilisers,135,105.09.07,NPK fertilisers,2011-11-11,
Ammonium phosphate,134,105.09.06,Ammonium phosphate,2011-11-11,
Ammonium nitrate,133,105.09.05,Ammonium nitrate,2011-11-11,
Ammonium sulphate,132,105.09.04,Ammonium sulphate,2011-11-11,
Ammonia,131,105.09.03,Ammonia,2011-11-11,
Nitric acid,130,105.09.02,Nitric acid,2011-11-11,
Characteristic processes in the manufacture of leather and leather products,13,104.05,Characteristic processes in the manufacture of leather and leather products,2011-11-11,
Sulfuric acid,129,105.09.01,Sulfuric acid,2011-11-11,
"Characteristic processes in the manufacture of chemicals, chemical products and man-made fibres",128,105.09,"Characteristic processes in the manufacture of chemicals, chemical products and man-made fibres",2011-11-11,
Other,127,105.08.05,Other,2011-11-11,
Storage and handling of petroleum produc. in refinery,126,105.08.04,Storage and handling of petroleum produc. in refinery,2011-11-11,
Sulphur recovery plants,125,105.08.03,Sulphur recovery plants,2011-11-11,
Fluid catalytic cracking CO boiler,124,105.08.02,Fluid catalytic cracking CO boiler,2011-11-11,
Petroleum products processing,123,105.08.01,Petroleum products processing,2011-11-11,
"Characteristic processes in the manufacture of coke, refined petroleum products and nuclear fuel",122,105.08,"Characteristic processes in the manufacture of coke, refined petroleum products and nuclear fuel",2011-11-11,
Printing plate manufacturing,121,105.07.09,Printing plate manufacturing,2011-11-11,
Processing of waste paper and paperboard,120,105.07.08,Processing of waste paper and paperboard,2011-11-11,
Characteristic processes in the manufacture of textiles and textile products,12,104.04,Characteristic processes in the manufacture of textiles and textile products,2011-11-11,
Soda recovery boilers,119,105.07.07,Soda recovery boilers,2011-11-11,
Lime sludge reburning kilns,118,105.07.06,Lime sludge reburning kilns,2011-11-11,
Paper processing,117,105.07.05,Paper processing,2011-11-11,
Paper pulp (chips),116,105.07.04,Paper pulp (chips),2011-11-11,
Paper pulp (Neutral Sulphite Semi-Chemical process),115,105.07.03,Paper pulp (Neutral Sulphite Semi-Chemical process),2011-11-11,
Paper pulp (acid sulfite process),114,105.07.02,Paper pulp (acid sulfite process),2011-11-11,
Paper pulp (kraft process),113,105.07.01,Paper pulp (kraft process),2011-11-11,
"Characteristic processes in the maufacture of pulp, paper and paper products, publishing and printing",112,105.07,"Characteristic processes in the maufacture of pulp, paper and paper products, publishing and printing",2011-11-11,
Wood processing,111,105.06.03,Wood processing,2011-11-11,
Plywood manufacturing,110,105.06.02,Plywood manufacturing,2011-11-11,
Drying processes,11,104.01.03,Drying processes,2011-11-11,
Chipboard,109,105.06.01,Chipboard,2011-11-11,
Characteristic processes in the manufacture of wood and wood products,108,105.06,Characteristic processes in the manufacture of wood and wood products,2011-11-11,
Treatment of skins and leathers,107,105.05.02,Treatment of skins and leathers,2011-11-11,
Leather tanning,106,105.05.01,Leather tanning,2011-11-11,
Characteristic processes in the manufacture of leather and leather products,105,105.05,Characteristic processes in the manufacture of leather and leather products,2011-11-11,
Dessing operations,104,105.04.07,Dessing operations,2011-11-11,
Printing and dyeing operations,103,105.04.06,Printing and dyeing operations,2011-11-11,
Bleaching operations,102,105.04.05,Bleaching operations,2011-11-11,
Steeping of flax and hemp.,101,105.04.04,Steeping of flax and hemp.,2011-11-11,
Artificial and synthetic fibres manufacture,100,105.04.03,Artificial and synthetic fibres manufacture,2011-11-11,
Lime (including iron and steel and paper pulp industries),10,104.01.02,Lime (including iron and steel and paper pulp industries),2011-11-11,
Combustion processes (production of heat and electricity),1,101,Combustion processes (production of heat and electricity),2011-11-11,
